CDM Item Number,Revenue Code,Service ID,Service Description,Gross Charge,Discounted Cash Price,Minimum Negotiated Charge,Maximum Negotiated Charge,Payer Negotiated Charge: BCBS of AL,Payer Negotiated Charge: Cigna ,Payer Negotiated Charge: Cigna Medicare Adv,Payer Negotiated Charge: Simpra Advantage Inc MCR Adv (Plan: All),Payer Negotiated Charge: Tricare ,Payer Negotiated Charge: United Healthcare,Payer Negotiated Charge: VIVA,
8860504,730,93010,EKG DR T,24,12,8.88,12,8.88,11.28,9.6,9.6,11.28,11.28,9.6,
8860225,730,93010,EKG WITH INTERPRETATION,25,12.5,9.25,12.5,9.25,11.75,10,10,11.75,11.75,10,
8860018,730,93005,EKG-STAT,93,46.5,34.41,46.5,34.41,43.71,37.2,37.2,43.71,43.71,37.2,
8860231,730,93041,RHYTHM STRIP,63,31.5,23.31,31.5,23.31,29.61,25.2,25.2,29.61,29.61,25.2,
8860116,731,93225,HOLTER MONITOR RECORDING,231,115.5,85.47,115.5,85.47,108.57,92.4,92.4,108.57,108.57,92.4,
8533382,732,,TELEMETRY,85,42.5,31.45,42.5,31.45,39.95,34,34,39.95,39.95,34,
9200064,750,38220,BONE MARROW ASPIRATION,421,210.5,155.77,210.5,155.77,197.87,168.4,168.4,197.87,197.87,168.4,
9200536,750,,CHOLEDOFIBEROSCOPY,560,280,207.2,280,207.2,263.2,224,224,263.2,263.2,224,
9200033,750,,COLONOSCOPY,1340,670,495.8,670,495.8,629.8,536,536,629.8,629.8,536,
9200018,750,,COLONOSCOPY WITH BX,1386,693,512.82,693,512.82,651.42,554.4,554.4,651.42,651.42,554.4,
9245382,750,,COLONOSCOPY WITH CONTRAOL OF BLEEDING,2669,1334.5,987.53,1334.5,987.53,1254.43,1067.6,1067.6,1254.43,1254.43,1067.6,
9245381,750,,COLONOSCOPY WITH INJECTION THERAPY,1190,595,440.3,595,440.3,559.3,476,476,559.3,559.3,476,
9200020,750,,COLONOSCOPY-REMOV POLOP/TUMOR WITH SNARE,1617,808.5,598.29,808.5,598.29,759.99,646.8,646.8,759.99,759.99,646.8,
9200019,750,,COLONOSCOPY-REMOV POLPY/TUMOR-HOT BX,1617,808.5,598.29,808.5,598.29,759.99,646.8,646.8,759.99,759.99,646.8,
9200049,750,,DILATATION,168,84,62.16,84,62.16,78.96,67.2,67.2,78.96,78.96,67.2,
9200014,750,,DILATION WITH BOUGIE,449,224.5,166.13,224.5,166.13,211.03,179.6,179.6,211.03,211.03,179.6,
9200077,750,,EGD,1340,670,495.8,670,495.8,629.8,536,536,629.8,629.8,536,
9200010,750,,EGD W/DILATION OF GASTRIC OUTLET,1340,670,495.8,670,495.8,629.8,536,536,629.8,629.8,536,
9200056,750,,EGD W/ESOPHAGEAL DILAT,733,366.5,271.21,366.5,271.21,344.51,293.2,293.2,344.51,344.51,293.2,
9200004,750,,EGD WITH BALLOON DILATION (<30mm),1340,670,495.8,670,495.8,629.8,536,536,629.8,629.8,536,
9200006,750,,EGD WITH BICAP THERAPY (BLEEDING),1340,670,495.8,670,495.8,629.8,536,536,629.8,629.8,536,
9200001,750,,EGD WITH BX,1340,670,495.8,670,495.8,629.8,536,536,629.8,629.8,536,
9200005,750,,EGD WITH INJECTION SCLEROSIS,1617,808.5,598.29,808.5,598.29,759.99,646.8,646.8,759.99,759.99,646.8,
9200016,750,,EGD WITH PEG PLACEMENT,1617,808.5,598.29,808.5,598.29,759.99,646.8,646.8,759.99,759.99,646.8,
9200003,750,,EGD WITH REMOVAL FOREIGN BODY,1340,670,495.8,670,495.8,629.8,536,536,629.8,629.8,536,
9200008,750,,EGD WITH REMOVAL TUMOR/POLYP WITH HOT BX,1617,808.5,598.29,808.5,598.29,759.99,646.8,646.8,759.99,759.99,646.8,
9200009,750,,EGD WITH REMOVAL TUMOR/POLYP WITH SNARE,1617,808.5,598.29,808.5,598.29,759.99,646.8,646.8,759.99,759.99,646.8,
9243256,750,,EGD WITH TRANSENDOSCOPIC STENT PLACEMENT,1980,990,732.6,990,732.6,930.6,792,792,930.6,930.6,792,
9200002,750,,EGD WITH WIRE GUIDED DILATION,1340,670,495.8,670,495.8,629.8,536,536,629.8,629.8,536,
9200050,750,,EGD/ESOPHAGEAL W/BIOPSY,439,219.5,162.43,219.5,162.43,206.33,175.6,175.6,206.33,206.33,175.6,
9200254,750,,ERCP,865,432.5,320.05,432.5,320.05,406.55,346,346,406.55,406.55,346,
9200024,750,,ERCP,1386,693,512.82,693,512.82,651.42,554.4,554.4,651.42,651.42,554.4,
9200032,750,,ERCP WITH BALOON DILATION OF DUCTS,1144,572,423.28,572,423.28,537.68,457.6,457.6,537.68,537.68,457.6,
9200025,750,,ERCP WITH BX,1144,572,423.28,572,423.28,537.68,457.6,457.6,537.68,537.68,457.6,
9200028,750,,ERCP WITH NASOBILIORY DRAINAGE,1144,572,423.28,572,423.28,537.68,457.6,457.6,537.68,537.68,457.6,
9200026,750,,ERCP WITH SPHINCTEROTOMY/PAPILLOTOMY,1144,572,423.28,572,423.28,537.68,457.6,457.6,537.68,537.68,457.6,
9200029,750,,ERCP WITH STENT INSERTION,1144,572,423.28,572,423.28,537.68,457.6,457.6,537.68,537.68,457.6,
9200030,750,,ERCP WITH STENT REMOVAL/CHANGE,1617,808.5,598.29,808.5,598.29,759.99,646.8,646.8,759.99,759.99,646.8,
9200027,750,,ERCP WITH STONE REMOVAL,1144,572,423.28,572,423.28,537.68,457.6,457.6,537.68,537.68,457.6,
9200007,750,,ESOPHAGOGASTRODUODEN,1340,670,495.8,670,495.8,629.8,536,536,629.8,629.8,536,
9200013,750,,ESOPHAGOSCOPY WITH BALOON DILATION,1340,670,495.8,670,495.8,629.8,536,536,629.8,629.8,536,
9200011,750,,ESOPHAGOSCOPY WITH F. BODY REMOVAL,1340,670,495.8,670,495.8,629.8,536,536,629.8,629.8,536,
9200012,750,,ESOPHAGOSCOPY WITH WIRE GUIDE DILATION,1340,670,495.8,670,495.8,629.8,536,536,629.8,629.8,536,
9289130,750,43753,GASTRIC INTUBATION AND LAVAGE,700,350,259,350,259,329,280,280,329,329,280,
9200692,750,,GASTRIC TUBE CHANGE,36,18,13.32,18,13.32,16.92,14.4,14.4,16.92,16.92,14.4,
9200577,750,,GASTRO TUBE REMOVAL,372,186,137.64,186,137.64,174.84,148.8,148.8,174.84,174.84,148.8,
9246221,750,,HEMORRHOIDAL BANDING,509,254.5,188.33,254.5,188.33,239.23,203.6,203.6,239.23,239.23,203.6,
9200021,750,,LIMITED COLONOSCOPY (SIGMOIDOSCOPY),1340,670,495.8,670,495.8,629.8,536,536,629.8,629.8,536,
9200022,750,,LIMITED COLONOSCOPY WITH BX,1386,693,512.82,693,512.82,651.42,554.4,554.4,651.42,651.42,554.4,
9245333,750,,LIMITED COLONOSCOPY/POLYPECTOMY (HOT BX),1617,808.5,598.29,808.5,598.29,759.99,646.8,646.8,759.99,759.99,646.8,
9200121,750,,LIMITED COLONOSCOPY/POLYPECTOMY (SNARE),1617,808.5,598.29,808.5,598.29,759.99,646.8,646.8,759.99,759.99,646.8,
9200643,750,,LIVER BIOPSY,74,37,27.38,37,27.38,34.78,29.6,29.6,34.78,34.78,29.6,
9200044,750,,LIVER BX,421,210.5,155.77,210.5,155.77,197.87,168.4,168.4,197.87,197.87,168.4,
9200015,750,,LT. SIDE COLONOSCOPY,246,123,91.02,123,91.02,115.62,98.4,98.4,115.62,115.62,98.4,
9200035,750,,MOD SEDATION EA ADD 15MIN,35,17.5,12.95,17.5,12.95,16.45,14,14,16.45,16.45,14,
9200034,750,,MOD SEDATION NURSE MONITOR-INITIAL,35,17.5,12.95,17.5,12.95,16.45,14,14,16.45,16.45,14,
9200567,750,,PARACENTESIS,1340,670,495.8,670,495.8,629.8,536,536,629.8,629.8,536,
9200017,750,,PEG CHANGE WITH EGD,1617,808.5,598.29,808.5,598.29,759.99,646.8,646.8,759.99,759.99,646.8,
9200144,750,49450,PEG CHANGE/REMOVAL WITHOUT EGD,1040,520,384.8,520,384.8,488.8,416,416,488.8,488.8,416,
9200288,750,,POLYPECTOMY,95,47.5,35.15,47.5,35.15,44.65,38,38,44.65,44.65,38,
9245334,750,,SIGMOIDOSCOPY WITH CONTROL OF BLEEDING,860,430,318.2,430,318.2,404.2,344,344,404.2,404.2,344,
9200031,750,,T COLON/POLYPECTOMY,601,300.5,222.37,300.5,222.37,282.47,240.4,240.4,282.47,282.47,240.4,
9200566,750,,THORACENTESIS,351,175.5,129.87,175.5,129.87,164.97,140.4,140.4,164.97,164.97,140.4,
9200023,750,,TOTAL COLONOSCOPY,1340,670,495.8,670,495.8,629.8,536,536,629.8,629.8,536,
7700001,762,,OBSERVATION 0-3,42,21,15.54,21,15.54,19.74,16.8,16.8,19.74,19.74,16.8,
7700013,762,,OBSERVATION 14 THROUGH 23RD HOUR,42,21,15.54,21,15.54,19.74,16.8,16.8,19.74,19.74,16.8,
7700002,762,,OBSERVATION 4-,42,21,15.54,21,15.54,19.74,16.8,16.8,19.74,19.74,16.8,
7700012,762,99220,OBSERVATION/LEVEL3 4TH-23RD HOUR,42,21,15.54,21,15.54,19.74,16.8,16.8,19.74,19.74,16.8,
8690471,771,90471,TETANUS/VACCINE INJECTION ADMINISTRA,64,32,23.68,32,23.68,30.08,25.6,25.6,30.08,30.08,25.6,
8193923,921,93923,ARTERIAL DOPPLER,252,126,93.24,126,93.24,118.44,100.8,100.8,118.44,118.44,100.8,
8860405,921,93922,DOPPLER FULL,299,149.5,110.63,149.5,110.63,140.53,119.6,119.6,140.53,140.53,119.6,
8193924,921,93924,PRE & POST GXT ARTERIAL STUDY,268,134,99.16,134,99.16,125.96,107.2,107.2,125.96,125.96,107.2,
8171753,921,93925,US ARTERIAL DOPP BIL LOW EXT,539,269.5,199.43,269.5,199.43,253.33,215.6,215.6,253.33,253.33,215.6,
8171761,921,93930,US ARTERIAL DOPP UP EXT,411,205.5,152.07,205.5,152.07,193.17,164.4,164.4,193.17,193.17,164.4,
8171514,921,93880,US CAROTID DOPPLER,590,295,218.3,295,218.3,277.3,236,236,277.3,277.3,236,
8193925,921,93925,"US DUPLEX SCAN, ARTERY LE, BILATERAL",268,134,99.16,134,99.16,125.96,107.2,107.2,125.96,125.96,107.2,
8193926,921,93926,"US DUPLEX SCAN, ARTERY LE, UNILATERAL",142,71,52.54,71,52.54,66.74,56.8,56.8,66.74,66.74,56.8,
8193930,921,93930,"US DUPLEX SCAN, ARTERY UE, BILATERAL",181,90.5,66.97,90.5,66.97,85.07,72.4,72.4,85.07,85.07,72.4,
8193931,921,93931,"US DUPLEX SCAN, ARTERY UE, UNILATERAL",142,71,52.54,71,52.54,66.74,56.8,56.8,66.74,66.74,56.8,
8193970,921,93970,"US DUPLEX SCAN, VENOUS, BILATERAL",236,118,87.32,118,87.32,110.92,94.4,94.4,110.92,110.92,94.4,
8193971,921,93971,"US DUPLEX SCAN, VENOUS, UNILATERAL",142,71,52.54,71,52.54,66.74,56.8,56.8,66.74,66.74,56.8,
8171555,921,93970,US VENOUS DOPP BIL EXTREMITY,479,239.5,177.23,239.5,177.23,225.13,191.6,191.6,225.13,225.13,191.6,
8172595,921,93971,US VENOUS DOPP UNI EXTREMITY,268,134,99.16,134,99.16,125.96,107.2,107.2,125.96,125.96,107.2,
8255150,940,99195,THERAPEUTIC PHLEBOTOMY,65,32.5,24.05,32.5,24.05,30.55,26,26,30.55,30.55,26,
8993799,943,93799,CARDIAC REHAB INITIAL EVALUATION,61,30.5,22.57,30.5,22.57,28.67,24.4,24.4,28.67,28.67,24.4,
8993797,943,93797,CARDIAC REHAB W/O EKG - OUTPAT,42,21,15.54,21,15.54,19.74,16.8,16.8,19.74,19.74,16.8,
8993798,943,93798,CARDIAC REHAB WITH CONTINUOUS EKG MONITO,84,42,31.08,42,31.08,39.48,33.6,33.6,39.48,39.48,33.6,
1312013,960,12013,2.5 - 5.0 cm SIMPLE CLOSURE,165,82.5,61.05,82.5,61.05,77.55,66,66,77.55,77.55,66,
1312052,960,12052,2.6 - 5.0 cm LAYERED CLOSURE,235,117.5,86.95,117.5,86.95,110.45,94,94,110.45,110.45,94,
1312032,960,12032,2.6 - 7.5 cm LAYERED CLOSURE,193,96.5,71.41,96.5,71.41,90.71,77.2,77.2,90.71,90.71,77.2,
1312042,960,12042,2.6 - 7.5 cm LAYERED CLOSURE,215,107.5,79.55,107.5,79.55,101.05,86,86,101.05,101.05,86,
1312002,960,12002,2.6 - 7.5 cm SIMPLE CLOSURE,145,72.5,53.65,72.5,53.65,68.15,58,58,68.15,68.15,58,
1312053,960,12053,5.1 - 7.5 cm LAYERED CLOSURE,405,202.5,149.85,202.5,149.85,190.35,162,162,190.35,190.35,162,
1312014,960,12014,5.1 - 7.5 cm SIMPLE CLOSURE,213,106.5,78.81,106.5,78.81,100.11,85.2,85.2,100.11,100.11,85.2,
1312044,960,12044,7.6 - 12.5 cm LAYERED CLOSURE,263,131.5,97.31,131.5,97.31,123.61,105.2,105.2,123.61,123.61,105.2,
1312034,960,12034,7.6 - 12.5 cm LAYERED CLOSURE,273,136.5,101.01,136.5,101.01,128.31,109.2,109.2,128.31,128.31,109.2,
1312054,960,12054,7.6 - 12.5 cm LAYERED CLOSURE,338,169,125.06,169,125.06,158.86,135.2,135.2,158.86,158.86,135.2,
1312015,960,12015,7.6 - 12.5 cm SIMPLE CLOSURE,264,132,97.68,132,97.68,124.08,105.6,105.6,124.08,124.08,105.6,
1312004,960,12004,7.6 - 12.5.cm SIMPLE CLOSURE,185,92.5,68.45,92.5,68.45,86.95,74,74,86.95,86.95,74,
1349080,960,,ABD PARACENTESIS,275,137.5,101.75,137.5,101.75,129.25,110,110,129.25,129.25,110,
1310061,960,10061,ABSCESS - COMPLICATED/MULTIPLE,173,86.5,64.01,86.5,64.01,81.31,69.2,69.2,81.31,81.31,69.2,
1310060,960,10060,ABSCESS - SIMPLE,87,43.5,32.19,43.5,32.19,40.89,34.8,34.8,40.89,40.89,34.8,
8199292,960,99292,ALDRIDGE CRIT CARE EA  ADDIT 30 MIN,121,60.5,44.77,60.5,44.77,56.87,48.4,48.4,56.87,56.87,48.4,
8199291,960,99291,ALDRIDGE CRITICAL CARE,361,180.5,133.57,180.5,133.57,169.67,144.4,144.4,169.67,169.67,144.4,
8199221,960,99221,ALDRIDGE H&P LEVEL 1,104,52,38.48,52,38.48,48.88,41.6,41.6,48.88,48.88,41.6,
8199222,960,99222,ALDRIDGE H&P LEVEL 2,173,86.5,64.01,86.5,64.01,81.31,69.2,69.2,81.31,81.31,69.2,
8199223,960,99223,ALDRIDGE H&P LEVEL 3,252,126,93.24,126,93.24,118.44,100.8,100.8,118.44,118.44,100.8,
8199218,960,99218,ALDRIDGE INITIAL OBS CARE LEVEL 1,109,54.5,40.33,54.5,40.33,51.23,43.6,43.6,51.23,51.23,43.6,
8199219,960,99219,ALDRIDGE INITIAL OBS CARE LEVEL 2,158,79,58.46,79,58.46,74.26,63.2,63.2,74.26,74.26,63.2,
8199220,960,99220,ALDRIDGE INT OBS LVL 3,186,93,68.82,93,68.82,87.42,74.4,74.4,87.42,87.42,74.4,
8199231,960,99231,ALDRIDGE IP DAILY VISIT LEVEL 1,60,30,22.2,30,22.2,28.2,24,24,28.2,28.2,24,
8199232,960,99232,ALDRIDGE IP DAILY VISIT LEVEL 2,93,46.5,34.41,46.5,34.41,43.71,37.2,37.2,43.71,43.71,37.2,
8199233,960,99233,ALDRIDGE IP DAILY VISIT LEVEL 3,132,66,48.84,66,48.84,62.04,52.8,52.8,62.04,62.04,52.8,
8199238,960,99238,ALDRIDGE IP DISCHARG 30 MIN OR LESS,109,54.5,40.33,54.5,40.33,51.23,43.6,43.6,51.23,51.23,43.6,
8199217,960,99217,ALDRIDGE OBS CARE DISCHARGE DAY,205,102.5,75.85,102.5,75.85,96.35,82,82,96.35,96.35,82,
8199224,960,99224,ALDRIDGE OBS DAILY VISIT LEVEL 1,50,25,18.5,25,18.5,23.5,20,20,23.5,23.5,20,
8199225,960,99225,ALDRIDGE OBS DAILY VISIT LEVEL 2,83,41.5,30.71,41.5,30.71,39.01,33.2,33.2,39.01,39.01,33.2,
8199226,960,99226,ALDRIDGE OBS DAILY VISIT LEVEL 3,121,60.5,44.77,60.5,44.77,56.87,48.4,48.4,56.87,56.87,48.4,
8199235,960,99235,ALDRIDGE SAME DAY ADMIT & DC LV 2,227,113.5,83.99,113.5,83.99,106.69,90.8,90.8,106.69,106.69,90.8,
8199236,960,99236,ALDRIDGE SAME DAY ADMIT & DC LV 3,255,127.5,94.35,127.5,94.35,119.85,102,102,119.85,119.85,102,
1327842,960,27842,ANKLE W/ANESTHESIA,446,223,165.02,223,165.02,209.62,178.4,178.4,209.62,209.62,178.4,
1327840,960,27840,ANKLE W/O ANESTHESIA,343,171.5,126.91,171.5,126.91,161.21,137.2,137.2,161.21,161.21,137.2,
1346600,960,46600,ANOSCOPY,44,22,16.28,22,16.28,20.68,17.6,17.6,20.68,20.68,17.6,
1330903,960,30903,ANT. HEMORRAHGE EXT.,134,67,49.58,67,49.58,62.98,53.6,53.6,62.98,62.98,53.6,
1330901,960,30901,ANT. HEMORRHAGE SIMPLE,99,49.5,36.63,49.5,36.63,46.53,39.6,39.6,46.53,46.53,39.6,
1336620,960,36620,ARTERIAL CATH,106,53,39.22,53,39.22,49.82,42.4,42.4,49.82,49.82,42.4,
1311730,960,11730,AVUL. NAIL PLATE/SINGLE,88,44,32.56,44,32.56,41.36,35.2,35.2,41.36,41.36,35.2,
3420,960,J3420,B-12 1000mcg- BHASIN,7,3.5,2.59,3.5,2.59,3.29,2.8,2.8,3.29,3.29,2.8,
563420,960,J3420,B-12 1000mcg- WIDHANI,7,3.5,2.59,3.5,2.59,3.29,2.8,2.8,3.29,3.29,2.8,
1327808,960,27808,BIMALLEOLAR - ANKLE,313,156.5,115.81,156.5,115.81,147.11,125.2,125.2,147.11,147.11,125.2,
1351000,960,,BLADDER ASP. - NEEDLE,72,36,26.64,36,26.64,33.84,28.8,28.8,33.84,33.84,28.8,
1328400,960,28400,CALCANEAL - CLOSED - W/O MANIP,269,134.5,99.53,134.5,99.53,126.43,107.6,107.6,126.43,126.43,107.6,
1392960,960,92960,"CARDIOVERSION, DEFIB.",233,116.5,86.21,116.5,86.21,109.51,93.2,93.2,109.51,109.51,93.2,
1336489,960,,CENT. IV LINE CVP > 2 YRS,136,68,50.32,68,50.32,63.92,54.4,54.4,63.92,63.92,54.4,
5836561,960,36561,CENTRAL VENOUS ACCESS,1899,949.5,702.63,949.5,702.63,892.53,759.6,759.6,892.53,892.53,759.6,
1343760,960,43762,CHANGE OF GASTROSTOMY TUBE,103,51.5,38.11,51.5,38.11,48.41,41.2,41.2,48.41,48.41,41.2,
1317250,960,17250,CHEMICAL CAUTERY OF WOUND,48,24,17.76,24,17.76,22.56,19.2,19.2,22.56,22.56,19.2,
1332020,960,,CHEST TUBE/THORACOTOMY,380,190,140.6,190,140.6,178.6,152,152,178.6,178.6,152,
1323500,960,23500,CLAVICLE,205,102.5,75.85,102.5,75.85,96.35,82,82,96.35,96.35,82,
1365220,960,65220,CORNEAL FB,70,35,25.9,35,25.9,32.9,28,28,32.9,32.9,28,
1365222,960,65222,CORNEAL FB W/SLIT LAMP,139,69.5,51.43,69.5,51.43,65.33,55.6,55.6,65.33,65.33,55.6,
1392950,960,92950,CPR,337,168.5,124.69,168.5,124.69,158.39,134.8,134.8,158.39,158.39,134.8,
1331605,960,31605,CRICOTHYROTOMY,446,223,165.02,223,165.02,209.62,178.4,178.4,209.62,209.62,178.4,
1399291,960,99291,CRITICAL CARE FIRST 30-74 MIN,481,240.5,177.97,240.5,177.97,226.07,192.4,192.4,226.07,226.07,192.4,
1336490,960,,CTDN. CENT. VENOUS < 2 YRS,176,88,65.12,88,65.12,82.72,70.4,70.4,82.72,82.72,70.4,
1336491,960,,CTDN. CENT. VENOUS > 2 YRS,187,93.5,69.19,93.5,69.19,87.89,74.8,74.8,87.89,87.89,74.8,
1311040,960,16020,"DEBRIDE - SKIN-PARTIAL THICKNESS, SMALL",119,59.5,44.03,59.5,44.03,55.93,47.6,47.6,55.93,55.93,47.6,
581030,960,J1030,DEPO MEDROL 40MG/ML-BHA,24,12,8.88,12,8.88,11.28,9.6,9.6,11.28,11.28,9.6,
561030,960,J1030,DEPO MEDROL 40MG/ML-WID,24,12,8.88,12,8.88,11.28,9.6,9.6,11.28,11.28,9.6,
1364450,960,64450,DIGITAL NERVE BLOCK,101,50.5,37.37,50.5,37.37,47.47,40.4,40.4,47.47,47.47,40.4,
1327786,960,27786,DISTAL FIBULA (LAT. MAL.),300,150,111,150,111,141,120,120,141,141,120,
1327788,960,27788,DISTAL FIBULA W/MANIP,433,216.5,160.21,216.5,160.21,203.51,173.2,173.2,203.51,203.51,173.2,
1326765,960,26765,DISTAL PHAL - CLOSED/OPEN,385,192.5,142.45,192.5,142.45,180.95,154,154,180.95,180.95,154,
1326750,960,26750,DISTAL PHALANX,138,69,51.06,69,51.06,64.86,55.2,55.2,64.86,64.86,55.2,
1325600,960,25600,DISTAL RADIUS,307,153.5,113.59,153.5,113.59,144.29,122.8,122.8,144.29,144.29,122.8,
1327760,960,27760,DISTAL TIBIA (MED. MAL.),313,156.5,115.81,156.5,115.81,147.11,125.2,125.2,147.11,147.11,125.2,
6899292,960,99292,DR CUNNINGHAM CRIT CARE EA  ADDIT 30 MIN,121,60.5,44.77,60.5,44.77,56.87,48.4,48.4,56.87,56.87,48.4,
6899291,960,99291,DR CUNNINGHAM CRITICAL CARE,361,180.5,133.57,180.5,133.57,169.67,144.4,144.4,169.67,169.67,144.4,
6899221,960,99221,DR CUNNINGHAM H&P LEVEL 1,104,52,38.48,52,38.48,48.88,41.6,41.6,48.88,48.88,41.6,
6899222,960,99222,DR CUNNINGHAM H&P LEVEL 2,173,86.5,64.01,86.5,64.01,81.31,69.2,69.2,81.31,81.31,69.2,
6899223,960,99223,DR CUNNINGHAM H&P LEVEL 3,252,126,93.24,126,93.24,118.44,100.8,100.8,118.44,118.44,100.8,
6899219,960,99219,DR CUNNINGHAM INITIAL OBS CARE LEVEL 2,158,79,58.46,79,58.46,74.26,63.2,63.2,74.26,74.26,63.2,
6899220,960,99220,DR CUNNINGHAM INITIAL OBS CARE LEVEL 3,205,102.5,75.85,102.5,75.85,96.35,82,82,96.35,96.35,82,
6899231,960,99231,DR CUNNINGHAM IP DAILY VISIT LEVEL 1,60,30,22.2,30,22.2,28.2,24,24,28.2,28.2,24,
6899232,960,99232,DR CUNNINGHAM IP DAILY VISIT LEVEL 2,93,46.5,34.41,46.5,34.41,43.71,37.2,37.2,43.71,43.71,37.2,
6899233,960,99233,DR CUNNINGHAM IP DAILY VISIT LEVEL 3,132,66,48.84,66,48.84,62.04,52.8,52.8,62.04,62.04,52.8,
6899239,960,99239,DR CUNNINGHAM IP DC MORE THAN 30 MIN,109,54.5,40.33,54.5,40.33,51.23,43.6,43.6,51.23,51.23,43.6,
6899238,960,99238,DR CUNNINGHAM IP DISCHARG 30 MIN OR LESS,109,54.5,40.33,54.5,40.33,51.23,43.6,43.6,51.23,51.23,43.6,
6899217,960,99217,DR CUNNINGHAM OBS CARE DISCHARGE DAY,170,85,62.9,85,62.9,79.9,68,68,79.9,79.9,68,
6899224,960,99224,DR CUNNINGHAM OBS DAILY VISIT LEVEL 1,50,25,18.5,25,18.5,23.5,20,20,23.5,23.5,20,
6899225,960,99225,DR CUNNINGHAM OBS DAILY VISIT LEVEL 2,83,41.5,30.71,41.5,30.71,39.01,33.2,33.2,39.01,39.01,33.2,
6899226,960,99226,DR CUNNINGHAM OBS DAILY VISIT LEVEL 3,121,60.5,44.77,60.5,44.77,56.87,48.4,48.4,56.87,56.87,48.4,
6899235,960,99235,DR CUNNINGHAM SAME DAY ADMIT & DC LV 2,227,113.5,83.99,113.5,83.99,106.69,90.8,90.8,106.69,106.69,90.8,
6899236,960,99236,DR CUNNINGHAM SAME DAY ADMIT & DC LV 3,255,127.5,94.35,127.5,94.35,119.85,102,102,119.85,119.85,102,
6899234,960,99234,DR CUNNINGHAM SAME DAY ADMIT & DISCHARGE,180,90,66.6,90,66.6,84.6,72,72,84.6,84.6,72,
6699221,960,99221,DR FREEMAN ADMISSION EVAL 30 MIN,112,56,41.44,56,41.44,52.64,44.8,44.8,52.64,52.64,44.8,
6699222,960,99222,DR FREEMAN ADMISSION EVAL 31-50MIN,153,76.5,56.61,76.5,56.61,71.91,61.2,61.2,71.91,71.91,61.2,
6699223,960,99223AQ,DR FREEMAN ADMISSION EVAL 51MIN,226,113,83.62,113,83.62,106.22,90.4,90.4,106.22,106.22,90.4,
6699238,960,99238,DR FREEMAN D/C MANAGEMENT LESS 30MIN,84,42,31.08,42,31.08,39.48,33.6,33.6,39.48,39.48,33.6,
6699239,960,99239,DR FREEMAN D/C MANAGEMENT OVER 30MIN,121,60.5,44.77,60.5,44.77,56.87,48.4,48.4,56.87,56.87,48.4,
6699231,960,99231,DR FREEMAN F/U HOSPITAL CARE 15MIN,47,23.5,17.39,23.5,17.39,22.09,18.8,18.8,22.09,22.09,18.8,
6699232,960,99232,DR FREEMAN F/U HOSPITAL CARE 16-35MIN,83,41.5,30.71,41.5,30.71,39.01,33.2,33.2,39.01,39.01,33.2,
6699233,960,99233,DR FREEMAN F/U HOSPITAL CARE OVER 35MIN,119,59.5,44.03,59.5,44.03,55.93,47.6,47.6,55.93,55.93,47.6,
6690817,960,,DR FREEMAN INDIV PSYCH W/MEDS 20-30MIN,92,46,34.04,46,34.04,43.24,36.8,36.8,43.24,43.24,36.8,
6690819,960,,DR FREEMAN INDIV PSYCH W/MEDS 45-50MIN,148,74,54.76,74,54.76,69.56,59.2,59.2,69.56,69.56,59.2,
6690822,960,,DR FREEMAN INDIV PSYCH W/MEDS 75-80MIN,176,88,65.12,88,65.12,82.72,70.4,70.4,82.72,82.72,70.4,
6690816,960,,DR FREEMAN INDIV PSYCH W/O MEDS 20-30MIN,76,38,28.12,38,28.12,35.72,30.4,30.4,35.72,35.72,30.4,
6690818,960,,DR FREEMAN INDIV PSYCH W/O MEDS 45-50MIN,114,57,42.18,57,42.18,53.58,45.6,45.6,53.58,53.58,45.6,
6690821,960,,DR FREEMAN INDIV PSYCH W/O MEDS 75-80MIN,169,84.5,62.53,84.5,62.53,79.43,67.6,67.6,79.43,79.43,67.6,
6690862,960,,DR FREEMAN MED MANAGEMENT,61,30.5,22.57,30.5,22.57,28.67,24.4,24.4,28.67,28.67,24.4,
5799292,960,99292,DR MAXWELL CRIT CARE EA  ADDIT 30 MIN,121,60.5,44.77,60.5,44.77,56.87,48.4,48.4,56.87,56.87,48.4,
5799291,960,99291,DR MAXWELL CRITICAL CARE,361,180.5,133.57,180.5,133.57,169.67,144.4,144.4,169.67,169.67,144.4,
5799221,960,99221,DR MAXWELL H&P LEVEL 1,104,52,38.48,52,38.48,48.88,41.6,41.6,48.88,48.88,41.6,
5799222,960,99222,DR MAXWELL H&P LEVEL 2,173,86.5,64.01,86.5,64.01,81.31,69.2,69.2,81.31,81.31,69.2,
5799223,960,99223,DR MAXWELL H&P LEVEL 3,252,126,93.24,126,93.24,118.44,100.8,100.8,118.44,118.44,100.8,
6899218,960,99218,DR MAXWELL INITIAL OBS CARE LEVEL 1,109,54.5,40.33,54.5,40.33,51.23,43.6,43.6,51.23,51.23,43.6,
5799219,960,99219,DR MAXWELL INITIAL OBS CARE LEVEL 2,158,79,58.46,79,58.46,74.26,63.2,63.2,74.26,74.26,63.2,
5799220,960,99220,DR MAXWELL INITIAL OBS CARE LEVEL 3,205,102.5,75.85,102.5,75.85,96.35,82,82,96.35,96.35,82,
