CLAY COUNTY HOSPITAL,,,
CHARGEMASTER,,,
,,,
DESCRIPTION,CPT CD,CHARGE,
RITALIN  5MG TAB (METHYLPHENIDATE),,6,
RITALIN 10MG TAB (METHYLPHENIDATE) GENER,,7,
RIVASTIGMINE (EXELON)  3MG CAP,,6,
RIVASTIGMINE (EXELON)  4.6MG/24HR PATCH,,36,
RIVASTIGMINE (EXELON)  6MG CAP,,8,
RIVASTIGMINE (EXELON) 4.5MG CAP,,6,
RIVASTIGMINE (EXELON) CAP 1.5MG,,6,
RIZATRIPTAN (MAXALT) TAB : 5MG,,6,
RIZATRIPTAN 10MG ODT (MAXALT)  CH/TAB,,14,
RMSF IgG   ID 6930,86000,177,
RMSF IgM   ID 6931,86000,113,
ROBAFEN (ROBITUSSIN) SYRUP 16 OZ CH/BT,,15,
ROBAXIN 100MG/ML 10ML VIAL METHOCARBAMOL,J2800,140,
ROBAXIN 500 MG U/D TAB GEN METHOCARBAMOL,,4,
ROBINUL INJ. 0.2MG/ML 1ML VIAL,,32,
ROCEPHIN  : 500mg VIAL {CEFTRIAXONE},J0696,70,
ROCEPHIN 1GM/50ML D5W : (CEFTRIAXONE) UD,J0696,175,
ROCEPHIN 1GM/50ML NS:ADV(CEFTRIAXONE) UD,,175,
ROCEPHIN 2GM/50ML D5W : (CEFTRIAXONE) UD,J0696,175,
ROMAZICON 0.1MG/ML CH/ML (FLUMAZENIL),,90,
ROOM RATE ICU,,945,
ROOM RATE PRIVATE OR SEMI PRIVATE,,535,
ROOM RATE SWINGBED PRIVATAE OR SEMI PRIVATE,,308,
rOPINIRole {REQUIP} TAB  0.25MG UD,,6,
rOPINIRole {REQUIP} TAB  0.5MG  UD,,6,
rOPINIRole {REQUIP} TABS : 1MG UD,,7,
rOPINIRole TABS 2MG,,6,
rOPINIRole TABS 3MG,,6,
rOPINIRole TABS 4MG,,6,
ROSUVASTATIN TAB 10MG (CRESTOR),,6,
ROSUVASTATIN TAB 20MG (CRESTOR),,6,
ROSUVASTATIN TAB 40MG (CRESTOR),,6,
ROSUVASTATIN TAB 5MG (CRESTOR),,6,
ROXANOL 20MG/ML  SOLN IR 120ml ch/ml,,0.63,
ROXANOL 20MG/ML ORAL SOLN IR 30ml ch/ml,,3,
RPR LACERATION OF TONGUE > 2.6 CM,41252,451,
RPR SPLIT WOUND SIMPLE W/PACKING,12021,284,
RPR SPLIT WOUND SUMPLE,12020,382,
RPR WND FACE SIMPLE - 7.6-12.5 CM,12015,766,
RPR WND FCE/EYELD/ERS/NS/LPS/MU 2.5 OR<,12011,863,
"RPR WND SCALP, EXT, TRNK - 7.6-12.5 CM",12004,691,
RPR WND SMPL/FACE/EYELD/ERS/NS/LP5.1/7.5,12014,313,
RPR WND SMPL/FACE/EYELD/ERS/NS/LPS2.6/20,12013,909,
RPR WND SMPL/FACE/EYELD/ERS/NS/LPS2.6/5C,12013,261,
RPR WND SMPL/FACE/EYELD/ERS/NS/LPS2.6/5C,12013,261,
RPR WND SMPL/FACE/EYLD/ERS/NS/LP >30CM,12018,688,
RPR WND SMPL/FACE/EYLD/ERS/NS/LP12.6/20,12016,486,
RPR WND SMPL/FACE/EYLD/ERS/NS/LP20.1/30,12017,590,
RPR WND SMPL/FACE/EYLD/ERS/NS/LP7.6/12.5,12015,393,
RPR WND WITH DERMABOND-MEDICARE,G0168,365,
RPR WND/SCALP/NK/EX GEN >30CM,12007,526,
RPR WND/SCALP/NK/EX GEN 12.6CM TO 20CM,12005,359,
RPR WND/SCALP/NK/EX GEN 2.5CM OR LESS,12001,197,
RPR WND/SCALP/NK/EX GEN 2.5CM OR LESS,12001,828,
RPR WND/SCALP/NK/EX GEN 2.6CM - 7.5CM,12002,863,
RPR WND/SCALP/NK/EX GEN 2.6CM TO7.5CM,12002,244,
RPR WND/SCALP/NK/EX GEN 20.1CM - 30CM,12006,920,
RPR WND/SCALP/NK/EX GEN 20.1CM TO 30CM,12006,457,
RPR WND/SCALP/NK/EX GEN 7.6CM TO 12.5CM,12004,290,
RPR WNDFCE/EYELD/ERS/NS/LPS/MU ME/2.5CM<,12011,208,
RT ALBUTEROL 0.042% VIA NEBULIZER,J7620,9,
RT ALBUTEROL 0.083% VIA NEBULIZER,,13,
RT Atrovent 0.5MG VIA NEBULIZER,,11,
RT DUONEB 2.5MG/0.5MG VIA NEBULIZER,,11,
RT PULMICORT (BUDESONIDE) 0.25MG VIA NEB,J7626,20,
RT PULMICORT (BUDESONIDE) 0.5MG VIA NEBU,,27,
RT PULMICORT RESPULES (0.5MG/2ML),J7626,10.5,
RT RACEMIC EPINEPHRINE 2.25% VIA NEB,,10,
RT SALINE 0.9% SOLN (TREATMENT),,9,
RT XOPENEX  (LEVALB) 0.63MG VIA NEBULI,,19,
RT XOPENEX (LEVALB) 1.25MG VIA NEBULI,,22,
RT XOPENEX 0.31MG/3ML  CH/AMP,,17.5,
RU-HIST -D TABS 4MG/10MG,,6,
RULER PAPER,,3,
SACROILIAC JOINT INJECTIONS W/FLUORSCOPY,27096,3850,
SAF-CLENS TOPICAL CLEANSER 12OZ BT (CH1),,24,
SALONPAS PATCH   CH/PATCH,,8,
"SALPINGO-OOPHOR, COMP/PART UNILATERAL",58720,3495,
SALSALATE 500 MG TAB,,4,
SALSALATE TAB 750 MG [GENERIC],,6,
SAME DAY SURGERY UNIT,,152,
SANCUSO 3.1MG TRANSDERMAL PATCH,,1100,
SANDOSTATIN 200MCG/ML CH/ 25MCG,J2354,22,
SANDOSTATIN 600 MCG/250 ML FOR DRIP,J2354,45,
SAW GIGLI 40-5542,,17,
SCALPEL #10,,9,
SCALPEL #11,,9,
SCALPEL #15,,9,
SCALPEL #15,,9,
SCHOLLS HEEL CUSHION,,18,
SCISSORS ENDOSHEARS  176643,,214,
SCREENING SIGMOIDOSCOPY,G0104,2310,
SCREW HEADLESS 3.0MM X 20MM,C1713,619,
SCREW HEADLESS 4.0MM X 18MM,C1713,638,
SCREW LOCKING LG HD 2.7X14MM,C1713,1078,
SCRUB HIBICLENS 4OZ,,6,
SDS-OBSERVATION PER HOUR,99218,83,
SEA BREEZE,,6,
SEBULEX  MEDICATED SHAMPOO (CH1),,25,
"SECONDARY CLOSURE OF WOUND OR DEHIS, EXT",13160,3033,
SELEGILINE 5MG,,6,
SELENIUM 200MCG TAB,,6,
SELSUN BLUE SHAMPOO CH/BOTTLE,,16,
SENNAGEN  {SENOKOT} TABS UD,,6,
SENNA-S {SENOKOT-S} TAB UD,,6,
SENOKOT TAB,,4,
SENSI CARE PROTECTIVE BARRIER CREAM CH1,,18.7,
SENSOR ADULT SP02,,37,
SENSOR OXYGEN MAX-A,,41,
SENSOR PEDIACTRIC SP02,,37,
SENSORCAINE 0.25% MPF CH/1,S0020,22,
SENSORCAINE 0.25% W/EPI MPF CH/ML 30ML,,1.1,
SENSORCAINE 0.5% MDV 30ML ch/1,,22,
SENSORCAINE 0.5% W/EPI MPF  ch/1,,22,
SENSORCAINE 0.5% W/EPI MPF 30ML,,30,
SENSORCAINE 0.75% MPF 30ML VIAL,,0.73,
SENSORCAINE 0.75% W/EPI MPF ch/1,,19,
SENSORY NEUROPATHY AB. PANEL   ID 152603,86255,618,
SEPTRA IV 160MG/800MG 10ML VIAL,,38,
SEPTRA REGULAR STRENGTH 400/80MG(GEN),,6,
SEREVENT DISCUS 50mcg INST PK CH/DOSE,,8,
SEREVENT DISKUS 50 MCG 60 DOSE CH/DOSE,,6.8,
SEROQUEL 100MG TAB,,14,
SEROQUEL 25MG TAB,,8,
SEROQUEL 50MG TAB,,8.5,
SEROquel XR  150MG TAB,,26,
SEROquel XR TAB  200MG UD,,35,
SEROquel XR TAB 50MG UD,,17,
sertraline {ZOLOFT} TAB  50MG UD,,6,
sertraline {ZOLOFT} TAB 100MG,,6,
sertraline {ZOLOFT} TAB 100MG UD,,6,
sertraline {ZOLOFT} TAB 25MG UD,,7,
SET ARROW HIGH-FLOW FLUID ADM. HF-01200,,110,
SET ARROW RAPID INFUSION CATH  RC-09850,,43,
SET BLOOD ADM.,,14,
SET BLOOD ADMIN Y SITE 200 MICRON FILTER,,27,
SET DIAL A FLO,,21,
SET E-PUMP 1000ML 773656,,8,
SET EXTENSION,,14,
SET EXTENSION 146  477037,,9.2,
SET EXTENSION FOR SYRINGES 13505-01,,38,
SET EXTENSION MINIBORE,,4,
SET FLOTUBE EXTENSION 008090,,11,
SET HOTLINE FLUID WARMING  SIM-L70,,50,
SET INFUSION 21X3/4  450095,,5,
SET MAC EXT. LP CLV,,7,
SET RADIAL ARTERY CATHETER,,27,
SET RADIAL ARTERY CATHETER,,30,
SET SECONDARY,,5,
SET SINGLE BAG IRRIGATION,,13,
SET THORACENTESIS PERICARDIOCENTESIS,,91,
SET Y TYPE BLOOD  12718-65,,11,
SE-TAN PLUS {TANDEM PLUS/RE DUAL VIT PL},,6,
"SEVER ADHESIONS, ANTERIOR EYE",65870,4171,
SHAMPOO JOHNSON'S BABY CH1,,8,
SHAVE LESION >2.0CM,11303,249,
"SHAVE LESION, F/E/N/L: 0.6-1.0 CM",11311,122,
"SHAVE LESION: FACE, .5CM OR LESS",11310,258,
SHAVING EPIDERMAL LESION FACE 1.1-2.0CM,11312,141,
"SHAVING LESION, FACE, > 2.0CM",11313,171,
"SHAVING LESION, SCLP,NK, FACE, HN .5 CM",11305,148,
"SHAVING LESION, SNGL, SCLP, NK, HN 1.1-2",11307,159,
"SHAVING LESION, TRUNK, 0.6-1.0CM",11301,125,
"SHAVING LESION, TRUNK, 1.1-2.0 CM",11302,130,
SHAVING OF LESION 0.6 TO 1.0CM,11301,126,
"SHAVING OF LESION, TRUNK, AR, LEG .5CM/<",11300,137,
SHIELD BUNION C-2,,6,
SHIELD FULL FACE,,9,
SHINGRIX VACCINE 50YRS & OLDER,,404.61,
SHIRTS STRESS TEST  10-02,,10,
SHOE MED/SURG MALE L 79-81137,,21,
SHOE MED/SURG MALE XL  79-81138,,26,
SHOE MED/SURG W/XS  79-81142,,18,
SHOE POST OP MA/LARGE 79-90187,,21,
SHOE POSTOP FE/L 79-90197,,21,
SHOE POSTOP FE/LARGE 79-90197,,21,
SHOE POSTOP FE/MED 79-90195,,21,
SHOE POSTOP FE/MEDIUM 79-90195,,21,
SHOE POSTOP FE/SM 79-90193,,21,
SHOE POSTOP MA/L  79-90187,,21,
SHOE POSTOP MA/MED 79-90185,,21,
SHOE POSTOP MA/MED 79-90185,,21,
SHOE POSTOP MA/XLARGE 79-90188,,26,
SIGMOIDOSCOPY W/O BIOPSY,45330,2261,
SIGMOIDOSCOPY W/REM/SNARE,45338,2756,
SIGMOIDOSCOPY W/SUBMUCO INJECTION,45335,2767,
SIGMOIDOSCOPY WITH BIOPSY,45331,2371,
SIGMOIDOSCOPY WITH REMOVAL FOREIGH BODY,45332,2631,
SIGMOIDOSCOPY WITH REMOVAL OF POLYP,45333,2631,
SILDENAFIL  50 MG TAB,,21,
SILDENAFIL 20MG TAB (REVATIO),,6,
SILENOR 3MG TAB,,30,
SILENOR 6MG TAB,,18.25,
SILVASORB WOUND GEL 1.5OZ CH/TUBE,,58,
SILVER NITRATE APPLICATOR,,6,
SILVER SULFADIAZINE 1% CREAM  25GM CH/GM,,0.85,
SILVER SULFADIAZINE CREAM,,4,
SILVER SULFADIAZINE CREAM   CH/GM 50GM,,0.5,
SILVER SULFADIAZINE CREAM   CH/GM 85GM,,0.24,
SIMBRINZA OPHTH SUSP CH/ML 8ML,,43.25,
SIMETHICONE 125MG TAB,,6,
SIMPLE REPAIR 2.5CM OR LESS,12001,718,
SIMPLE RPR LACERATION 2.6-7.5 CM,12002,728,
"SIMPLE RPR WND FC,ERS,EYELDS,NS,LPS 2.5<",12011,829,
SIMPLE SYRUP,,0.15,
SIMVASTATIN  {ZOCOR} TAB  10MG,,6,
SIMVASTATIN (ZOCOR) TAB  80MG UD,,6,
SIMVASTATIN {ZOCOR} TAB  20MG  UD,,6,
SIMVASTATIN {ZOCOR} TAB  40MG UD,,6,
SIMVASTATIN 40MG TAB {ZOCOR},,6,
SIMVASTATIN 80MG TAB {ZOCOR},,6,
SINOGRAFIN (RADIOLOGY PROCEDURE),,95,
SINUS RINSE PACKS BXOF100 CH1,,0.8,
SITZ BATH,,9,
SKIN DERMABOND TOPICAL,,50,
SKIN FULL GRAFT ADD ON,15241,1935,
SKIN FULL GRAFT FACE/GENITILIA/HF,15240,2613,
SKIN FULL GRAFT SCALP/ARM/LEG,15220,2613,
SKIN FULL GRAFT TRUNK,15200,2613,
SKIN FULL GRAFT TRUNK-ADD ON,15201,2647,
SKIN GRAFT FULL THICKNESS <20 SQ CM,15260,3121,
SKIN GRAFT FULL THICKNESS/20 SQ CM <,15240,1422,
SKIN GRAFT PINCH/SNG/MLTPL/UP TO 2CM,15050,763,
SKIN SPLIT GRAFT,15100,3289,
SKINSTITCH 51002,,53,
SLEEVE INFINITY COAXIAL,,125,
SLING & SWATHE LARGE 565729,,66,
SLING & SWATHE LARGE 79-84247,,30,
SLING & SWATHE MED. 79-84245,,30,
SLING & SWATHE SMALL 79-84243,,30,
SLING & SWATHE UNIVERSAL 79-84230,,29,
SLING & SWATHE XLARGE 79-84248,,30,
SLING ARM LARGE  79-84007,,14,
SLING ARM MEDIUM  79-84005,,14,
SLING ARM SMALL 79-84003,,14,
SLING ARM XL 79-84008,,14,
SLING ARM XSMALL 79-84002,,14,
"SLING FOR STRESS INCONTINENCE, LAP",51992,10140,
SLOW FE TAB (45MG ELEMENTAL IRON) UD,,4,
SNARE SINGULAR POLYP 000965,,117,
SNORE STOP,,10,
SOD BICARBONATE 4.2% (2.5mEq/5ML) VIAL,,23,
SOD BICARBONATE 8.4% 50ML SYR CRASH CART,,40,
SOD. CHLORIDE (BACT) 0.9% 30ML,,7,
SODIUM (SULAMYD) SULFACETAMIDE 10% SOL,,4,
SODIUM CHL OPHTH DROPS 5% 15ML CH1,,12,
SODIUM CHLOR. 0.9% 50ML VIAL,,10,
SODIUM CHLORIDE 0.9% 10ML,,4,
SODIUM CHLORIDE 0.9% 10ML VIAL,,10,
SODIUM CHLORIDE 1GM TABS,,6,
SODIUM CHLORIDE OPTH OINT 5%,,4.08,
SODIUM PHOSPHATE : 3mM/ML - 5ML VIAL,,20,
SODIUM SERUM-REPEAT SAME DAY   ID 152122,84295,45,
SOLARCAINE AEROSOL CH 1,,0.37,
SOLU-CORTEF 100 MG INJ UD,J1720,45,
SOLU-CORTEF 250MG INJ,J1700,65,
Solu-MEDROL : 125MG (FOR 250MG/50ML NS),J2930,70,
Solu-MEDROL : 500 MG IV,,170,
Solu-MEDROL 1000 MG IV,,42,
Solu-MEDROL 125MG IV  2ML VIAL UD,J2930,70,
SOLU-MEDROL 40MG VIAL,J2920,26,
SORBSAN 4 X 8 DRESSING (BOX OF 5),,18,
SORBSAN 4X4,,8.95,
SORBSAN TOPICAL DRESSING 3 X 3,,16,
SOTALOL {BETAPACE} TAB   120MG,,6,
SOY BEAN  ALLERGEN   ID 152714,86003,50,
SPECULA LARGE DISP. VAGINAL,,8,
SPECULA MEDIUM DISP. VAGINAL,,7,
SPECULA SMALL DISP VAGINAL,,7,
SPECULA VAGINAL LG,,6,
SPECULA VAGINAL MED,,6,
SPECULA VAGINAL SM,,5,
SPHINCTURECTOMY,46080,3595,
SPINAL LUMBAR PUNCTURE,62270,896,
"SPINAL PUNTURE, LUMBAR DIAGNOS",62270,896,
Spiriva INHALER    5-DOSE  CH1 UD,,187,
Spiriva INHALER   30-DOSE  CH/DOSE,,42,
Spiriva RESPIMAT  4GM INH CH/GM,,176,
SPIROMETERS INCENTIVE 001902A,,17,
SPIROMETRY RECORDING/ED/ANALYSIS,94014,146,
SPIRONOLACTONE {ALDACTONE} 50MG ud,,6,
SPIRONOLACTONE {ALDACTONE} TAB  25MG UD,,6,
SPLENECTOMY,38100,4687,
SPLINT 4 PRONG MED. 79-71885,,8,
SPLINT 4PRONG LARGE 79-71887,,8,
SPLINT ADULT AIR FOOT & ANKLE,,20,
SPLINT ADULT AIR FULL LEG,,24,
SPLINT ADULT AIR HAND & WRIST,,19,
SPLINT AIR ADULT 1/2 ARM,,20,
SPLINT AIR ADULT 1/2 LEG,,24,
SPLINT AIR ADULT FULL ARM,,19,
SPLINT ANKLE W/FLOAM REGULAR 79-81197,,72,
SPLINT BASEBALL FINGER (L) 79-72097,,6,
SPLINT BASEBALL FINGER (M) 79-72095,,6,
SPLINT BASEBALL FINGER (S) 79-72093,,6,
SPLINT CHILD AIR 1/2 ARM,,33,
SPLINT CHILD AIR 1/2 LEG,,32,
SPLINT CHILD AIR FOOT & ANKLE,,53,
SPLINT CHILD AIR FULL ARM,,38,
SPLINT CHILD AIR FULL LEG,,41,
SPLINT CHILD AIR HAND & WRIST,,41,
SPLINT CLAVICLE MED. 79-85005,,20,
SPLINT CLAVICLE SM 79-85003,,20,
SPLINT CLAVICLE XL 79-85008,,20,
SPLINT CLAVICLE XS 79-85002,,20,
SPLINT CLAVICLE XXL 79-85009,,25,
SPLINT COCKUP LT/XXS 79-87351,,21,
SPLINT COCKUP LT/XXXS 79-87331,,21,
SPLINT COCKUP RT/XXS 79-87341,,24,
SPLINT COCKUP RT/XXXS 79-87321,,20,
SPLINT EZY 3,,24,
SPLINT EZY 4,,29,
SPLINT EZY 5,,36,
SPLINT EZY 6,,42,
SPLINT FINGER LG 9125-03,,14,
SPLINT FINGER MED. 9125-02,,14,
SPLINT FINGER SM 9125-01,,14,
SPLINT FINGER XL 9125-04,,14,
SPLINT FROG LARGE 79-71967,,8,
SPLINT FROG MED. 79-71965,,8,
SPLINT W/F LT/ LG. 79-87437,,21,
SPLINT W/F LT/MD 79-87435,,21,
SPLINT W/F LT/XL  79-87438,,21,
SPLINT W/F RT/LARGE 79-87427,,21,
SPLINT W/F RT/MED 79-87425,,21,
SPLINT W/F RT/XL  79-87428,,21,
SPLINT WRIST LT/LARGE 79-87297,,30,
SPLINT WRIST LT/MED 79-87295,,30,
SPLINT WRIST LT/SMALL  79-87293,,30,
SPLINT WRIST LT/XL 79-87298,,29,
SPLINT WRIST LT/XSMALL 79-87292,,29,
SPLINT WRIST RT/LARGE 79-87287,,30,
SPLINT WRIST RT/MEDIUM 79-87285,,30,
SPLINT WRIST RT/SMALL 79-87283,,29,
SPLINT WRIST RT/XL 79-87288,,29,
SPLINT WRIST RT/XSMALL 79-87282,,29,
SPLIT THICKNESS GRAFT-AUTO-FACE-EYELIDS,15120,3336,
SPONTANEOUS ABORTION/EVAC/CURETTAGE MOLE,59870,706,
SPONTANEOUS ABORTION/INM ABRTN/ANY TRIME,59812,706,
SPONTANEOUS ABRTN/MISCARR/COM SUR/TRI #1,59820,706,
SPONTANEOUS ABRTN/MISCARR/COM SUR/TRI #2,59821,706,
SPOT EX ENDOSCOPIC TATTOO,,58,
SPRINTEC 28 (VYLIBRA) TAB CH/28,,6,
SPS {KAYEXELATE} SUSP   CH/ML,,1.75,
SPS SUSP 15GM/60ML U/D (CH1),,23,
ST  RE-EVALUATION,S9152GN,170,
ST ASSESSMENT OF APHASIA (ASSES EXPRE/RE,96105GN,146,
ST EVAL FOR USE/PROSTHETIC OR AUGMENTATI,92597GN,174,
ST EVAL MOTION FLUORO SWALLOW FCTN,92611GN,249,
ST EVALUATION,92523GN,226,
ST TREATMENT INDIVIDUAL EA 15 MIN,92507GN,82,
"ST TREATMENT/GROUP, 2 OR MORE",92508GN,76,
"ST. LOUIS ENCEPHALITIS, IGG",86653,78,
"ST. LOUIS ENCEPHALITIS, IGM",86653,78,
STALEVO-100 TAB,,6,
STALEVO-125 TAB,,9,
STALEVO-150 (150MG-200MG-37.5MG),,6,
STALEVO-50 (200/50/12.5MG),,6,
STAPLE EEA,,896,
STAPLER 35W SKIN,,30,
STAPLER CONTOUR CVD CUTTER,,1022,
STAPLER DST 60MM-3.5MM,,137.5,
STAPLER GIA  #80,,434,
STAPLER ILS 25MM,,864,
STAPLER ILS 29MM,,864,
STAPLER REFLEX ONE,,64,
STAPLER RELOADABLE GIA6025S,,792,
STAPLER RELOADABLE TA4535S,,728,
STAPLER RELOADABLE TA4548S,,728,
STAPLER RELOADABLE TA9035S,,766,
STAPLER RELOADABLE TA9048S,,766,
STAPLER ROYAL 35W 054887,,56,
STAPLES  RELOADING TA4535L,,343,
STAPLES  RELOADING TA4548L,,343,
STAPLES  RELOADING TA9035L,,368,
STAPLES  RELOADING TA9048L,,368,
STAPLES FOR CUTTER LINEAR SR55 (BOX/12),,152,
STAPLES FOR GIA #80,,255,
STAPLES RELOADING  GIA6025L,,466,
STAPLES SKIN,,97,
STEP DOWN RECOVERY ADD 30 MIN,,75,
STERA-PRED 5MG - 12 DAY 48 TABS {GENERIC,,1.1,
STERA-PRED 5MG - 6 DAY  21 TABS {GENERIC,,25,
STERA-PRED DS 10MG-6DAY-21TAB {PER TAB}.,,2.65,
STERI STRIP 1  3M  0R1548,,10,
STERIL POUCH SELF SEAL 5.25X10,,9,
STERIL POUCH SELF SEAL 7X5X13,,9,
STERILE 2X2'S  NON21224,,4,
STERILE 4 X 4'S PKS 10,,5,
STERILE 4X4'S PKS 2'S,,4,
STERILE WATER FOR INJ 50ML,,14,
STERILID EYELID CLEANSER,,35.6,
STEROID EPIDURAL LUMBAR,62322,1028,
STETH ESOPHEAGEAL w/TEMP PROBE 9FR,,9,
STETH. ESOPHEAGEAL w/TEMP PROBE 18FR,,19,
STIMULATOR PERIPHERAL NERVE,,20.95,
STOCKINETTE 3,,3,
STOCKINETTE 3  X 25YDS,,4,
STOCKINETTE 4,,4,
STOCKINETTE N/S 4  X 25YDS,,4,
STOCKINETTE STERILE 4X48,,11,
STRAP CATHETER,,14,
STRAP CLAVICLE LG 79-98677,,29,
STRAP CLAVICLE MED. 79-98675,,29,
STRAP CLAVICLE XLG 79-98678,,29,
STRAP EXTRA LONG (ORTHOSIS),,53,
STRAPPING & CAST APP FINGER/DYNAMIC,29131,105,
STRAPPING &CAST APP FINGER SPLINT STATIC,29130,105,
STRAPPING AND CAST APPLICATION THIGH/ANK,29505,105,
STRAPPING ANKLE,29540,76,
STRAPPING ANKLE PHYSICIAN FEE,29540,76,
STRAPPING ELBOW/WRIST,29260,82,
STRAPPING ELBOW/WRIST PHYSICIAN,29260,82,
STRAPPING HAND,29280,76,
STRAPPING HAND PHYSICIAN,29280,76,
STRAPPING OF KNEE,29530,70,
STRAPPING OF KNEE,29530,70,
STRAPPING SHOULDER,29505,95,
STRAPPING SHOULDER PHYSICIAN,29505,95,
STRAPPING TOES,29550,70,
STRAPPING TOES PHYSICIAN,29550,70,
STRAPPING/CAST APPLICATION SHORT DYNAMIC,29125,105,
STRATSORB COMP ISLAND 4X4,,4,
STRATTERA (ATOMOXETINE) 80 MG CAP,,14.5,
STRATTERA 60MG CAPSULE,,34,
STRATTERA CAP   25MG,,6.5,
STRIP 1  IODOFORM  PACKING,,16,
STRIP 1  PLAIN PACKING,,15,
STRIP 1/4  IODOFORM PACKING,,15,
STRIP 1/4  IODOFORM PACKING,,16,
STRIP 1/4  PACKING,,3,
STRIP WOUND CLOSURE,,5,
STYLET INTUB. 2.5-4.5MM  85863,,8,
STYLET INTUB. 5.0-10.0MM  85865,,8,
STYLET INTUB. 5.0-7.0MM  85864,,11,
STYLETTE LIGHTED  3910,,42,
STYLETTE SLICK 2.0-3.5    PM 500,,14,
STYLETTE SUNSLIP 14FR,,8,
SUAVE SHAMPOO,,3,
SUBOXONE 8MG/2MG TAB,,14.5,
SUCRALFATE {CARAFATE} TAB 1GM UD,,6,
SUCTION,,28,
SUCTION CANISTER W/TUBING,,15,
SUCTION CLOSED CATHETER 14FR,,37,
SUCTION CLOSED TRACHEAL 2205,,21,
SUCTION COAGULATOR,,75,
SUCTION FRAZIER 3FR,,9,
SUCTION FRAZIER 5FR,,9,
SUCTION FRAZIER 7FR,,9,
SUCTION YANKAUER,,3,
SUCTION YANKAUER,,3,
SUCTION YANKAUER,,3,
SUCTION YANKAUER,,3,
SUCTION YANKAUER,,5,
SUCTION YANKAUER ANES.,,9,
SUCTION/COAG 10FR  E 2505,,26,
SULAR ER 17MG TAB,,8,
SULAR ER 8.5MG TAB,,4,
SULFACETAMID/PREDNISOLON OPHTH SOLN C/ML,,51.42,
SULFACETAMIDE SOD OPTH SOLN 10%   CH/ML,,9,
SULFAMETH-TRIME TAB BACTRIM DS 800/160UD,,6,
SULFASALAZINE  EC 500MG TABS,,6,
SUMATRIPTAN (IMITREX) TAB  25MG,,33,
SUMATRIPTAN {IMITREX} 6MG KIT,,340,
SUMATRIPTAN {IMITREX} TAB :   50MG,,33,
SUMITRIPTAN (IMITREX) INJ 6MG/0.5ML VIAL,J3030,50,
SUMITRIPTAN TAB 100MG,,8,
SUNSCREEN,,8,
SUPPORT BACK  S/M  79-89240,,38,
SUPPORT BACK L-XL  79-89241,,41,
SUPPORT DELUXE ANKLE LG 79-81097,,46,
SUPPORT DELUXE ANKLE MED. 79-81125,,46,
SUPPORT DELUXE ANKLE SM 79-81093,,46,
SUPPORT DELUXE ANKLE XL 79-81098,,46,
SUPPORT KNEE LARGE,,58,
SUPPORT KNEE MED. 79-82635,,58,
SUPPORT KNEE XLARGE 79-80168,,58,
SUPPORT KNEE XXLARGE 79-80169,,59,
SUPPORTER ATHLETIC LARGE,,14,
SUPPORTER ATHLETIC MEDIUM,,14,
SUPPORTER ATHLETIC SMALL,,14,
SUPPORTER ATHLETIC XLARGE,,14,
SURE FIT ELECTRODE,,8,
SURFAK CAP 240MG (DOCUSATE CALCIUM),,6,
SURGICEL1952,,191,
SURGICEL1952,,191,
SURGIGRIP 5-11MM   174103,,25.5,
SURGIGRIP 5-12MM  174102,,30,
SURGIGRIP 5MM  174104,,29,
SURGINEEDLE 120MM  172015 (veress),,104,
SURGIPORT 5MM  171016,,213,
SUTURE 0 CHROMIC  L114G,,14,
SUTURE 0 MONOCRYL 824G,,9,
SUTURE 0 PL GUT L104G,,8,
SUTURE 0 PL GUT L104G,,910,
SUTURE 0 PROLENE 8834H,,7,
SUTURE 0 PROLENE C841G,,44,
SUTURE 0 VICRYL J740D,,30,
SUTURE 1 CHROMIC 813H,,13,
SUTURE 1 NUROLON C520D,,28,
SUTURE 1 PROLENE 8425H,,18,
SUTURE 1 VICRYL   VCP347H,,6,
SUTURE 1 VICRYL VCP335H,,68,
SUTURE 2-0 CHROMIC 637H,,7,
SUTURE 2-0 CHROMIC CG883,,13,
SUTURE 2-0 CHROMIC GUT G123H,,8,
SUTURE 2-0 ETHILON 664G,,5,
SUTURE 2-0 MONOCRYL Y909G,,16,
SUTURE 2-0 PLAIN GUT,,6,
SUTURE 2-0 PLAIN GUT  L103G,,6,
SUTURE 2-0 PROLENE 8937H,,36,
SUTURE 2-0 SILK 685H,,10,
SUTURE 2-0 SILK K833H,,7,
SUTURE 2-0 SILK K883H,,6,
SUTURE 2-0 VICRYL PLUS VCP339H,,6,
SUTURE 2-0 VICRYL VCP317H,,9,
SUTURE 2-0 VICRYL VCP317H,,9,
SUTURE 2-0 VICRYL VCP345H,,10,
SUTURE 2-0 VICRYL VCP351H,,10,
SUTURE 2-O SILK 423H,,8,
SUTURE 3-0 CHROMIC G182H,,13,
SUTURE 3-0 ETHILON 1669H,,21,
SUTURE 3-0 ETHILON 663H,,9,
SUTURE 3-0 ETHILON 663H,,14,
SUTURE 3-0 ETHILON 669H,,5,
SUTURE 3-0 PROLENE 8410H,,8,
SUTURE 3-0 SILK 684H,,10,
SUTURE 3-0 SILK C017D,,22,
SUTURE 3-0 VICRYL 27,,8,
SUTURE 3-0 VICRYL BRAIDED,,6,
SUTURE 3-0 VICRYL VCP311H,,10,
SUTURE 3-0 VICRYL VCP338H,,6,
